H,1,1
H+,1,1
H2,2,2
H2+,2,2
H3+,3,3
HE,4,1
HE+,4,1
HEH+,5,2
C,12,1
C+,12,1
CH,13,2
CH+,13,2
CH2,14,3
CH2+,14,3
N,14,1
N+,14,1
CH3,15,4
CH3+,15,4
NH,15,2
NH+,15,2
#CH4,16,5
CH4,16,5
CH4+,16,5
NH2,16,3
NH2+,16,3
O,16,1
O+,16,1
#NH3,17,4
NH3,17,4
NH3+,17,4
OH,17,2
OH+,17,2
#H2O,18,3
H2O,18,3
H2O+,18,3
NH4+,18,5
C2,24,2
C2+,24,2
#C2,24,2
C2H,25,3
C2H+,25,3
#C2H,25,3
#C2H2,26,4
C2H2,26,4
C2H2+,26,4
CN,26,2
CN+,26,2
#HCN,27,3
#HNC,27,3
HCN,27,3
HCN+,27,3
HNC,27,3
#CO,28,2
#N2,28,2
CO,28,2
CO+,28,2
H2CN,28,4
HCNH+,28,4
N2,28,2
N2+,28,2
SI,28,1
SI+,28,1
#H2CN,28,4
HCO,29,3
HCO+,29,3
HOC+,29,3
N2H+,29,3
SIH,29,2
SIH+,29,2
#NO,30,2
#H2CO,30,4
H2CO,30,4
H2CO+,30,4
NO,30,2
NO+,30,2
SIH2,30,3
SIH2+,30,3
H3CO+,31,5
HNO,31,3
HNO+,31,3
SIH3,31,4
SIH3+,31,4
#HNO,31,3
#O2,32,2
#CH3OH,32,6
#SIH4,32,5
CH3OH,32,6
H2NO+,32,4
O2,32,2
O2+,32,2
S,32,1
S+,32,1
SIH4,32,5
SIH4+,32,5
CH3OH2+,33,7
HS,33,2
HS+,33,2
O2H,33,3
O2H+,33,3
#O2H,33,3
#H2S,34,3
H2S,34,3
H2S+,34,3
CL,35,1
CL+,35,1
H3S+,35,4
#HCL,36,2
C3+,36,3
HCL,36,2
HCL+,36,2
H2CL+,37,3
C2N,38,3
C2N+,38,3
C3H2,38,5
#C3H2,38,5
SIC,40,2
SIC+,40,2
#SIC,40,26
OCN,42,3
#HNCO,43,4
HNCO,43,4
#SIO,44,2
#CS,44,2
#CO2,44,3
CO2,44,3
CS,44,2
CS+,44,2
SIO,44,2
SIO+,44,2
HCO2+,45,4
HCS,45,3
HCS+,45,3
SIOH+,45,3
#H2CS,46,4
#NO2,46,3
#NS,46,2
#H2SIO,46,4
H2CS,46,4
H2CS+,46,4
H2SIO,46,4
NO2,46,3
NS,46,2
NS+,46,2
H3CS+,47,5
HNS+,47,3
#SO,48,2
SO,48,2
SO+,48,2
HSO+,49,3
C3N,50,4
#HC3N,51,5
HC3N,51,5
C2N2+,52,4
SIC2,52,3
SIC2+,52,3
#SIC2,52,3
#SIS,60,2
#OCS,60,3
OCS,60,3
OCS+,60,3
SIS,60,2
SIS+,60,2
#SO2,64,3
S2,64,2
S2+,64,2
SO2+,64,3
SO2,64,3
HS2,65,3
HS2+,65,3
HSO2+,65,4
H2S2+,66,4
#H2S2,66,4
H2S2,66,4
E-,0,1
